note; resume; opinions
9.0; Fabuleux  ; Rose et son mari Dagobert sont des personnes très accueillantes et à l’écoute. Ils sont toujours prêts à discuter et à aider. Darius est également un hôte très chaleureux.  Je recommande ce lieu très joli et calme.  Je signale que même si ce n’est pas le grand luxe, c’est le seul endroit qui a tenu ses promesses : lits corrects, eau chaude, télé câblée et un wifi qui fonctionne réellement.  Mer à 50 mètres. Ok  |
10; Exceptionnel ; Problème avec le wifi.| Excellent accueil,  Très très bon emplacement. De la simplicité, de l'empathie, de la disponibilité. Merci beaucoup à toute l'équipe|
6.0;nous avons passé un agréable week-end; la présence du téléviseur sans images et le manque de wifi| nous n'avons pas reçu de petit déjeuné, par contre l'emplacement est fabuleux|
8.0; Très bien ;

9.0; Fabuleux  ;

9.0; Fabuleux  ; Très grande maison, propre et bien entretenue. Les lits sont confortables. La cuisine très bien équipée. Spacieux jardin. Une superbe plage à seulement quelques minutes à pieds.|
8.3;La maison est belle et confortable on a passé un agréable séjour, merci  à Michel pour son accueil.; L’air de jeux des enfants devrait avoir une barrière car cet endroit est en hauteur ce qui demande une vigilante des parents surtout pour les enfants à bas âges.|
9.6;agréable; Juste 2 salles de bains| La disponibilité de Michel  et les lits très confortables|
8.8; Très bien ; L'accueil de Michel, l'agencement des chambres la propreté des lieux et les equipements|
8.0;Super!!!; Rien de particulier| Tout|
9.6; Fabuleux  ;

7.0; Bien  ; Revoir plaques électriques qui ne permettent pas faire des repas|
9.0;Expérience à renouveler! 🥰 Nous avons entièrement été satisfait.; Nous n'avons pas apprécié le fait de n'avoir pas été aviser que le mot de passe du wifi changeait chaque jour et qu'il fallait ce le procurer soit même à la réception. Cette information aurait été importante étant donner que notre propre connexion internet ne fonctionnait pas a 100% dans l'appartement.| Le petit déjeuner était bien fourni et surtout délicieux. En plus le Restaurant est juste au bord de la mer, la vue est magnifique. Habituellement sur Booking, il est possible de voir précisément la chambre / l'appartement qu’on choisit, mais malheureusement ce n'était pas le cas lors de ma réservation et j’avais donc peur de ne pas apprécier, j’ai été agréablement surprise par le confort et la propreté de l’appartement. Aussitôt arrivées nous avons profité de la piscine et du jacuzzi, très propre. Le personnel était courtois, gentil et disponible.|
9.6;Nice trip ; L’heure de la piscine doit être prolongée car nous n’avions pas pu profiter de la mer à cause de la saison pluvieuse. | J’ai tout aimé.|
9.2; Fabuleux  ; excellent accueil du personnel. Sourire et disponibilité.|
5.4;Séjour très moyen et certainement inférieur aux attentes; Les installations ne correspondaient pas au standing vendu| La disponibilité du personnel|
7.0; Bien  ;

8.0; Très bien ;

10; Exceptionnel ;

9.2; Fabuleux  ;

8.0;Cadre idéale pour des vacances. Plage très propres; L’emplacement est vraiment calme et sécurisé proche de l’une des meilleure  plage dé kribi|
9.0;J'ai aimé ; L'accès est un peut trop caché et pas entretenu | Le confort, l'accueil et l'effort fourni pas le personnel pour nous satisfaire|
7.0;Peut mieux faire; Jardin pas entretenu. | Le style de maison|
10;Excellent sejour!; Excellent sejour! Nous sommes très contents!| La maison est superbe avec une belle terrasse, joli jardin, proche de la plage, ideal pour un sejour en famille! On espere revenir bientot|
7.0; Bien  ; Améliorer les routes d'accès pour les voitures basses | Le style de la construction, la disponibilité du gérant La proximité de la mer |
7.0;Le séjour a été paisible, j'ai découvert de nouveaux coins.; Petit bémol en revanche : l'établissement devrait nous préparer des activités et nous dire à l'avance combien ça coûte.| J'ai aimé le calme plat, le respect des réceptionnistes, la proximité de la plage|
10;Bon emplacement, personnel agréable et accueillant; La route pour arriver au gîte: route en mauvaise état et gîte pas bien indiqué| L'emplacement est bien localisé, calme et proche de la plage et des chutes de la lobe. Le personnel est très bien et donne les bons plans pour profiter au mieux du séjour|
8.0;Un séjour agréable et tranquille; Mettre une télévision dans les chambres et la climatisation| La tranquillité du lieu, la proximité de la mer, le l'accueil chaleureux du personnel|
8.0; Très bien ; J'ai pas vu de micro onde. C'est pas très proche de la route et de la ville. Mais le fait que ce soit reculé est un avantage avec le calme et la mer. | J'ai aimé le séjour était parfait.  La maison est très belle le décor hors du commun. Mon fiancé et moi avons beaucoup aimé. Merci à vous.|
9.0; Fabuleux  ;

9.0; Fabuleux  ;

8.0; Très bien ; La cuisine,le dernier jour en l'absence du chef Dans l'ensemble pas mal| L'accueil  La propreté  La localisation |
7.0;La propreté était au rendez-vous ; L'hôtel est très très propre. Mais le rapport qualité prix n'est pas au rendez-vous. La suite que nous avons occupé à 160.000 FCFA la nuit ne valait pas ce prix. Il n'y avait vraiment rien d'exceptionnel. Et la suite n'était pas prête à notre arrivée. Il n'y avait même pas une somple bouteille d'eau dans la chambre. Bref il fallait tout quémander.  J'ai dû prendre sur moi pour faire de notre séjour un moment agréable. | La propreté. Les pièces sont très très propres.  Le groupe électrogène prends automatiquement le relais en cas de coupure d'électricité. Les équipements sont de bonne qualité notamment les sanitaires. |
9.0; Fabuleux  ; Quelques bruits de chantier | Bon emplacement, près de la Marina, pas loin du centre ville, pas très loin des chutes. Personnel très accueillant, chambre propre et confortable, déjeuner délicieux... |
9.0; Fabuleux  ; La douche dans les toilettes|
8.0;Cadre agréable, idéal pour un doux repos en couple ou avec les enfants.; revoir les prix des boissons légèrement à la baisse.| le confort de la chambre et du lit, le calme des lieux, la disponibilité du personnel, la proximité avec la route et la qualité des plats et les prix assez bien.|

7.0; Bien  ; moi j'ai beaucoup apprecier le service etait bien malgre le marque d'eau chaude , les employes tres tres gentilles surtout la receptioniste, bred mon sejour a ete impeccable| le calme et le respect|
7.0; Bien  ; La porte du balcon qui ne se ferme pas mais ce pas grave.| Les personnels étaient accueillants aimables et très agréables , l’établissement était juste à côté de la mer ce magique. Je le recommande à tout ce qui veulent profiter de kribi , merci beaucoup.|
5.8;Sans intérêt ! ;  Le petit déjeuner médiocre qui est servi à une personne uniquement dans un couple! Inacceptable ! Sinon il faut payer un supplément pour la 2 eme personne à un prix exorbitant par rapport au prix local. « Un touriste n est pas forcément un pigeon » L accès à la plage inexistant. La literie non confortable viellot dans l ensemble  Les deux nuits ont été longues. A éviter malgré la proximité à la mer. | L emplacement proche de la mer. |
8.0; Très bien ; Petit déjeuner le matin pris dans un bouccarou au bord de l'ocean presque les pieds dans l'eau super et le calme de l'endroit pas de bruit exellent|
5.4; Passable ; Eau froide pour la douche, chasse de wc en panne , restaurant 1h30 d'attente pour le souper  Hôtel très moyen..|
5.4;Mon avis !; Les toilettes n'étaient pas très clean et le repas était salé dans l'ensemble| L'accueil , la façon dont on traite les clients , la déco de la chambre, ma vue sur la plage |
5.0;Moyennement satisfaite rapport qualité prix.; Petit déjeuner pas complet. Nous avons payé une omelette au prix fort Les équipements sont vétusté.  Pas de baignoire dans les douches| l'emplacement et le calme du coin|
3.3; Assez médiocre  ; Pas propre!| Le personnel |
9.2; Fabuleux  ; Il manque eau chaude courante dans les chambres .  Le Wifi faisait défaut . A la décharge de l'hôtel ce serait de la faute de Cameroon Télécom| La gentillesse et l'accueil personnalisé du maître des lieux , cette conception en polygone qui fait que presque toutes les chambres donnent sur la mer , le bruit des vagues qui viennent s'écraser en bas , un service de papas presque personnalisé et discontinue , soit au bord de la piscine  , soit au local restauration ouverte sur et surplombant l'océan|
5.0;J'ai pas aimé bref par rapport a ce que je m'attendais jai été déçue; Qu'on offre que du lait et des pains bref le minimum au petit déjeuner alors qu'on paie pour|
3.8;Pas agréable côté hébergement. Un peu vieux. Demande une restauration; Désuet.different de ce qui est présenté sur le site| Rien|
5.4;Jamais plus!; L’état  Piteux dans lequel se trouve cet établissement.| L’accueil, la disponibilité et gentillesse du personnel.|
5.0; Passable ; Pour le petit déjeuner qui était inclu dans le tarif payé, j'y ai eu droit seulement le premier matin du séjour et le lendemain comme par enchantement il n'était plus inclu. En outre l'hôtel en général et les salles de bain en particulier a/ont fortement besoin d'être rénové(es)| Le personnel était très accueillant, ouvert au dialogue et aux propositions d'amélioration. De part la situation à proximité de la mer, la vue de ma chambre était tout simplement magnifique.|
6.3; Agréable ;

10; Exceptionnel ;

8.3; Très bien ;

8.3; Très bien ;

4.6; Décevant ;

6.0;Abordable; Propreté| Piscine et accueil|
6.3; Agréable ; Le bouquet canal+ de la télé pensez au moins à mettre le bouquet évasions | Le calme et les meubles|
7.0;Je recommande; Pas de climatisation au salon Appartement pas très propre au moment de notre arrivée (tout de même subite soit dit en passant)| Le mobilier et le confort de l'appartement|
6.7;Agreable malgre tout; Le manque de climatisation non précisé sur l'annonce, alors que la climatisation faisait partie des équipements listés pour l'appartement choisi| L'appartement était bien|
2.0;Bien débuté. Mais il a tourne court. Sommes partiees a la suite du vol.; Nous avons fait l'objet d'un vol et les responsables ne semblaient pas être concernés  La porte de notre balcon ne fermait pas.|
9.0; Fabuleux  ; Rien à redire| Nous avons surtout apprécié la qualité de la nourriture, vraiment parfaite et délicieuse. Le poisson braisé était excellent comme tout ce que nous avions commandé lors de nos repas.|
8.0;Belle endroit pour un séjour familiale...; Electricité, pression eau faible dans les toilettes...| Appartement familiale, plage privé, piscine, sécurité|
1.0; Médiocre  ; Coupure de courant, Aucun branding, Localisation incorrecte, Plage passant par la forêt, Je me suis fait électrisé par le fer à repasser qui avait le câble blessé, Petit déjeuner pas bien fait, Eau a faible débit, Animaux de maison proches du restaurant,| La propreté|
8.0;Séjour reposant et cadre idyllique; La salle de bain le débit de l'eau minuscule et le pommeau de douche à changer, il est scotché pas à la hauteur du standing de l'appartement. Les fourmis !! Et les insectes à voir pour proposer des insecticides dans les appartements. Le climatiseur du restaurant en panne pendant notre séjour. Coupure de courant.| Le personnel chaleureux et professionnel, merci au chef cuistot et Édith pour l'accueil et la disponibilité, le confort de la chambre et la proximité avec la plage qui de surcroît est juste sublime et intimiste. (pas trop de monde) Le service de ménage quotidien. Le service de taxi course à disposition pour les sorties en ville. La forêt à proximité aussi.|
2.0;A éviter absolument. Seul point positif, le gentillesse des employés.; L'inadéquation entre la description de l'appartement loué et la réalité (coordonnées GPS fausses sur internet, aucune vue ni sur mer, ni sur bois comme annoncé, restauration le soir uniquement et sur réservation, climatisation défectueuse, pb de chargement de canal plus, etc, etc). De plus des gens de l'extérieur viennent profiter de la piscine, de façon plus qu'indélicate (Beuverie, dispute, hygiène................). Enfin, à l'arrivée, erreur dans l'attribution des appartements, nous imposant un déménagement 2 heures après l'arrivée.| La gentillesse des employés (malheureusement livrés à eux-mêmes, pas de gérant)|
7.9;Bon; La voie d accès| Le lit et la literie|
2.5;à déconseiller très vivement! Hôte désagréable et logement très mal situé; Hôte très désagréable! Rapport qualité/prix moindre! Équipements vétustes à notre arrivée mais facturés lors de notre départ!  À déconseiller vivement|
10; Exceptionnel ;
